edx-1,edx,edx,how to learn online,https://www.edx.org/learn/how-to-learn/edx-how-to-learn-online?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=1&results_level=second-level-results&term=&objectid=course-0e575a39-da1e-4e33-bb3b-e96cc6ffc58e&campaign=how+to+learn+online&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn essential strategies for successful online learning,4.4,5,29,-->introductory,2 weeks,learning design,none,free 
edx-2,edx,university of california berkeley,the science of happiness,https://www.edx.org/learn/happiness/university-of-california-berkeley-the-science-of-happiness?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=2&results_level=second-level-results&term=&objectid=course-73484215-4007-48cd-ba90-c945cde6030d&campaign=the+science+of+happiness&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,the first mooc to teach positive psychology. learn science-based principles and practices for a happy meaningful life.,4.7,5,21,-->introductory,11 weeks,evolutionary biology - empathy - psychology,none,free 
edx-3,edx,harvard university,remote work revolution for everyone,https://www.edx.org/learn/remote-work/harvard-university-remote-work-revolution-for-everyone?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=3&results_level=second-level-results&term=&objectid=course-4d67e5fe-1f51-4f7c-a523-d545cc87fc78&campaign=remote+work+revolution+for+everyone&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,in remote work revolution for everyone you will learn to excel in the virtual-work landscape. you will learn how to build trust increase productivity use digital tools intelligently and remain fully aligned with your remote team.,4.7,5,61,-->introductory,3 weeks,customer relationship building - telecommuting,none,free 
edx-4,edx,harvard university,cs50's introduction to computer science,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=4&results_level=second-level-results&term=&objectid=course-da1b2400-322b-459b-97b0-0c557f05d017&campaign=cs50%27s+introduction+to+computer+science&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to the intellectual enterprises of computer science and the art of programming.,none,none,none,-->introductory,12 weeks,algorithms - cascading style sheets (css) - data structures - finance - hypertext markup language (html) - forensic sciences - c (programming language) - javascript (programming language) - cryptography - python (programming language) - resource management - security software - computer science - sql (programming language),none,free 
edx-5,edx,ibm,data visualization and building dashboards with excel and cognos,https://www.edx.org/learn/data-visualization/ibm-data-visualization-and-building-dashboards-with-excel-and-cognos?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=5&results_level=second-level-results&term=&objectid=course-fa4317f9-e35c-4c7a-b5ef-a14afa1b356d&campaign=data+visualization+and+building+dashboards+with+excel+and+cognos&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build the fundamental knowledge necessary to use excel and ibm cognos analytics to create data visualizations and to create dashboards containing those visualizations to help tell a lucid story about data.,4.3,5,27,-->introductory,4 weeks,microsoft excel - ibm cognos business intelligence - data analysis - spreadsheets - data visualization,none,free 
edx-6,edx,technische universität münchen,six sigma part 2: analyze improve control,https://www.edx.org/learn/six-sigma/technische-universitat-munchen-six-sigma-analyze-improve-control?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=6&results_level=second-level-results&term=&objectid=course-50f33f6f-be42-43d2-9ccc-d5c5aedbf4fd&campaign=six+sigma+part+2%3a+analyze%2c+improve%2c+control&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to statistically analyze process data to determine the root cause and propose solutions for process problems to implement quality management tools such as 8d and the 5 whys and to understand the concept of design for six sigma (dfss).,4.8,5,23,-->introductory,8 weeks,eight disciplines problem solving (8d) - quality management - lean manufacturing - six sigma yellow belt - statistical process controls - six sigma methodology - lean six sigma - statistics - six sigma green belt certification - control chart - lean six sigma green belt - confidence intervals - design for six sigma - quality improvement,none,free 
edx-7,edx,harvard university,cs50's introduction to programming with python,https://www.edx.org/learn/python/harvard-university-cs50-s-introduction-to-programming-with-python?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=7&results_level=second-level-results&term=&objectid=course-2cc794d0-316d-42f7-bbfd-25c34e4cd5df&campaign=cs50%27s+introduction+to+programming+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to programming using python a popular language for general-purpose programming data science web programming and more.,none,none,none,-->introductory,10 weeks,computer science - javascript (programming language) - data science - personal computers - sql (programming language) - unit testing - boolean expression - debugging - python (programming language) - c (programming language) - web browsers - regular expressions - web development,none,free 
edx-8,edx,ibm,analyzing data with excel,https://www.edx.org/learn/excel/ibm-analyzing-data-with-excel?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=8&results_level=second-level-results&term=&objectid=course-256bcc7d-5d2f-4053-b09a-22b48e058798&campaign=analyzing+data+with+excel&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build the fundamental knowledge required to use excel spreadsheets to perform basic data analysis. the course covers the basic workings and key features of excel to help students analyze their data.,4.4,5,113,-->introductory,5 weeks,spreadsheets - data analysis - data wrangling - google sheets - microsoft excel - data cleansing - pivot tables and charts - web browsers - data science - business marketing,none,free 
edx-9,edx,university of pennsylvania,the science of generosity: do good…feel good,https://www.edx.org/learn/humanities/university-of-pennsylvania-the-science-of-generosity-do-good-feel-good?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=9&results_level=second-level-results&term=&objectid=course-83991f62-3401-48f2-9b46-f4a76692794c&campaign=the+science+of+generosity%3a+do+good%e2%80%a6feel+good&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore how generosity can increase your own happiness and make a difference in the communities around you.,none,none,none,-->introductory,4 weeks,none,none,free 
edx-10,edx,babson college,entrepreneurial operations: launching a startup,https://www.edx.org/learn/entrepreneurship/babson-college-entrepreneurial-operations-launching-a-startup?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=10&results_level=second-level-results&term=&objectid=course-002fcc00-5258-4760-ae83-8e8f1280e3bd&campaign=entrepreneurial+operations%3a+launching+a+startup&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,optimize your business for successby learning the fundamentals of entrepreneurial operations.,4.4,5,5,-->intermediate,4 weeks,operations,none,free 
edx-11,edx,indian institute of management bangalore,marketing management,https://www.edx.org/learn/marketing-management/indian-institute-of-management-bangalore-marketing-management?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=11&results_level=second-level-results&term=&objectid=course-b1e08c5c-4648-4b22-bb22-7b477fcf88d1&campaign=marketing+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to effectively apply marketing management theories and practices including the marketing mix through real-world business scenarios.,4.2,5,31,-->intermediate,9 weeks,marketing - marketing management - management consulting - marketing mix - customer service - customer satisfaction,none,free 
edx-12,edx,university of california berkeley,the foundations of happiness at work,https://www.edx.org/learn/happiness/university-of-california-berkeley-the-foundations-of-happiness-at-work?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=12&results_level=second-level-results&term=&objectid=course-a00ec61d-e2db-45c8-92c9-4727056c2f4a&campaign=the+foundations+of+happiness+at+work&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn why happiness at work matters and how to increase it within yourself and across your organization.,4.5,5,19,-->introductory,4 weeks,innovation,none,free 
edx-13,edx,the world wide web consortium (w3c),introduction to web accessibility,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=13&results_level=second-level-results&term=&objectid=course-8ac6f7ff-0ff9-4894-a5f3-cc34fc5768fa&campaign=introduction+to+web+accessibility&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,get a strong foundation in digital accessibility to make your websites and apps work well for people with disabilities meet international standards and provide a better user experience for everyone.,4.4,5,36,-->introductory,4 weeks,user experience - web accessibility initiative - rich internet application - information technology - international standards - web content accessibility guidelines - cooperation - assistive technology - web accessibility,none,free 
edx-14,edx,imperial college london,coaching skills for learner-centred conversations,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=14&results_level=second-level-results&term=&objectid=course-4145aa87-e1bf-4f84-b6c9-63ef0771e829&campaign=coaching+skills+for+learner-centred+conversations&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,using coaching approaches in your educational conversations will help you support learners to really maximise their potential as you become an even more effective and inspiring educator. over these next four modules you will become much more familiar with some key coaching principles and skills and will be equipped to start applying these in your own educational contexts.,4.5,5,20,-->introductory,4 weeks,life coaching,none,free 
edx-15,edx,university system of maryland,creating innovative business models,https://www.edx.org/learn/business-model/university-system-of-maryland-creating-innovative-business-models?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=15&results_level=second-level-results&term=&objectid=course-eacd1533-14d5-4251-903c-bee5708a5bf6&campaign=creating+innovative+business+models&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build your capabilities to create a value proposition team strategy market strategy and financial strategy to transform your ideas into a startup company or innovative corporate venture,4.7,5,8,-->introductory,4 weeks,financial strategy - value propositions - innovation - financial modeling - marketing strategies,none,free 
edx-16,edx,australian national university,greatest unsolved mysteries of the universe,https://www.edx.org/learn/astrophysics/australian-national-university-greatest-unsolved-mysteries-of-the-universe?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=16&results_level=second-level-results&term=&objectid=course-b91a36c0-1e7a-4b64-908a-3886d0b13cb7&campaign=greatest+unsolved+mysteries+of+the+universe&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,exploring the biggest mysteries of modern astrophysics.,4.9,5,17,intermediate,9 weeks,astrophysics,none,free 
edx-17,edx,the smithsonian institution,interdisciplinary teaching with museum objects,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-interdisciplinary-teaching-with-museum-objects?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=17&results_level=second-level-results&term=&objectid=course-af184b03-15a3-4977-9cee-87f051dc810d&campaign=interdisciplinary+teaching+with+museum+objects&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,educators from four smithsonian museums will explore connections among their collections and model teaching strategies that participants can implement with their students whether online or in the classroom.,none,none,none,-->introductory,14 weeks,african-american history - interdisciplinary teaching,none,free 
edx-18,edx,the national university of singapore,intercultural communication at work – land the job and do it well,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=18&results_level=second-level-results&term=&objectid=course-ef87f574-3c2d-406b-9c76-b5865e7220a0&campaign=intercultural+communication+at+work+%e2%80%93+land+the+job+and+do+it+well&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,leveraging a holistic understanding of intelligence emotional cultural and adversity quotients this course guides job applicants in resume writing interview skills and professional communication skills for teamwork conflict management negotiation and presentation,none,none,none,intermediate,6 weeks,writing - presentations - intercultural communication - emotional intelligence - personal branding - teamwork - conflict management - negotiation - cultural sensitivity - relationship building - management - resilience,none,free 
edx-19,edx,the university of maryland college park,data science and agile systems for product management,https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=19&results_level=second-level-results&term=&objectid=course-eb57cb64-2f14-4a7e-8626-914cde2b06d0&campaign=data+science+and+agile+systems+for+product+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,deliver faster higher quality and fault-tolerant products regardless of industry using the latest in agile devops and data science.,4.6,5,5,-->intermediate,4 weeks,design and technology - data science - modularity - data collection - influencing skills - product management - devops - automation - fault tolerance - data management - operations - self service technologies - agile methodology,none,free 
edx-20,edx,imperial college business school,climate change: financial risks and opportunities,https://www.edx.org/learn/climate-change/imperial-college-business-school-climate-change-financial-risks-and-opportunities?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=20&results_level=second-level-results&term=&objectid=course-51cf8a23-cffe-4b00-a0e7-badc59927767&campaign=climate+change%3a+financial+risks+and+opportunities&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore the risks and opportunities that climate change presents to financial markets hearing from a range of investment industry leaders and scientific researchers.,4.1,5,22,-->intermediate,4 weeks,finance - financial market - risk management - capital markets - financial services - investments,none,paid 
edx-21,edx,university of british columbia,strategies for online teaching and learning,https://www.edx.org/learn/education/university-of-british-columbia-strategies-for-online-teaching-and-learning?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=21&results_level=second-level-results&term=&objectid=course-228e656f-0a00-494f-9233-734cb18761b4&campaign=strategies+for+online+teaching+and+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn strategies for effective and engaging teaching and learning in an online course environment.,3.8,5,12,-->introductory,3 weeks,teaching - pedagogy - online course development - online teaching,none,free 
edx-22,edx,harvard university,exercising leadership: foundational principles,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=22&results_level=second-level-results&term=&objectid=course-6774d438-134f-4d20-95a2-ea763f59ff23&campaign=exercising+leadership%3a+foundational+principles&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,mobilize people to tackle tough problems and build the capacity to thrive through the dangers of change,4.6,5,402,-->introductory,4 weeks,leadership,none,free 
edx-23,edx,rochester institute of technology,storytelling in the workplace,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace?index=product&queryid=f52756ff383a7526749c7fbca0750660&position=23&results_level=second-level-results&term=&objectid=course-c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35&campaign=storytelling+in+the+workplace&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to craft messages and narratives that will resonate with your target audience to create your desired outcome.,4.4,5,17,introductory,3 weeks,target audience - writing - communications,none,free 
