udacity-1,udacity,udacity,data pipelines with azure,https://www.udacity.com/course/data-pipelines-with-azure--cd11532,course,in this course you’ll learn to build orchestrate automate and monitor data pipelines in azure using azure data factory and pipelines in azure synapse analytics. you’ll build trigger and monitor data pipelines on the azure platform for analytical workloads and run data transformations optimize data flows and work with data pipelines in production.,none,none,none, intermediate,4 weeks,azure data factory -  data pipeline creation -  data pipeline maintenance -  azure pipelines -  data pipeline dags,no experience required,paid 
udacity-2,udacity,udacity,introduction to cybersecurity,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,nanodegree program,in this program you will learn how to evaluate maintain and monitor the security of computer systems. you’ll also learn how to assess threats respond to incidents and implement security controls to reduce risk and meet security compliance goals.,4.5,5,115, beginner,3 months,cybersecurity fluency -  vulnerability management -  identity and access management fundamentals -  threat intelligence -  patch management -  cybersecurity risk management -  security architecture fundamentals -  cybersecurity governance -  nist cybersecurity framework -  cybersecurity regulations and standards -  exploit detection -  data privacy regulations -  cis controls -  email security -  cybersecurity business context - threat intelligence -  vulnerability management -  cybersecurity incident response playbooks -  offensive security -  security architecture fundamentals - cryptography -  security information and event management -  systems security -  security assessment -  intrusion protection systems -  firewall rules -  nist 800-series -  firewalls -  data security fundamentals -  network security best practices -  intrusion detection systems -  did framework -  computer networking basics -  network security reports - security auditing -  cybersecurity grc -  cybersecurity business context -  cybersecurity compliance -  cybersecurity risk management -  cybersecurity controls -  cybersecurity policy writing -  stakeholder management -  value-based security risk assessment -  security risk classification -  cybersecurity standards fluency -  security risk remediation -  cybersecurity training strategies,operating system fundamentals- cybersecurity fluency- computer networking basics- command line interface basics,paid 
udacity-3,udacity,udacity,threats, vulnerabilities, and incident response,https://www.udacity.com/course/threats-vulnerabilities-and-incident-response--cd0003,course,cybersecurity breaches happen when a threat is able to successfully exploit a vulnerability within a business. to avoid these attacks security professionals must understand the threats the company is facing including the various threat actors and their motivations. security professionals must also be able to find vulnerabilities that can enable threats to attack through common practices such as vulnerability scanning and penetration testing. finally security professionals should be able to activate and follow incident response procedures to address cybersecurity incidents and breaches. ultimately during this course students will learn how to identify security threats and gaps fix issues and respond to inevitable attacks.,none,none,none, beginner,4 weeks,threat intelligence -  vulnerability management -  cybersecurity incident response playbooks -  offensive security -  security architecture fundamentals,cybersecurity fluency- command line interface basics- computer networking basics- operating system fundamentals,paid 
udacity-4,udacity,udacity,cybersecurity foundations,https://www.udacity.com/course/cybersecurity-foundations--cd0001,course,security is embedded in all we do online and is a critical job skill and career field. this foundations course explains security fundamentals including core principles critical security controls and cybersecurity best practices. students will also evaluate specific security techniques used to administer a system that meets industry standards and core controls assess high-level risks vulnerabilities and attack vectors of a sample system and explain ways to establish and maintain the security of different types of computer systems.,none,none,none, beginner,3 weeks,cybersecurity fluency -  vulnerability management -  identity and access management fundamentals -  threat intelligence -  patch management -  cybersecurity risk management -  security architecture fundamentals -  cybersecurity governance -  nist cybersecurity framework -  cybersecurity regulations and standards -  exploit detection -  data privacy regulations -  cis controls -  email security -  cybersecurity business context,operating system fundamentals -  cybersecurity fluency -  computer networking basics,paid 
udacity-5,udacity,udacity,defending and securing systems,https://www.udacity.com/course/defending-and-securing-systems--cd0002,course,in this course students will be exposed to a diverse group of technologies that will provide or enhance the skills needed to enter the cybersecurity field. students will apply best practices of defense in depth to secure computer systems use outputs from security incidents to analyze and improve future network security and search internal systems to determine network vulnerabilities. students will also learn how to recommend mitigations to address common application vulnerabilities and ensure fundamental encryption techniques for securing data at rest and in transit.,none,none,none, beginner,3 weeks,cryptography -  security information and event management -  systems security -  security assessment -  intrusion protection systems -  firewall rules -  nist 800-series -  firewalls -  data security fundamentals -  network security best practices -  intrusion detection systems -  did framework -  computer networking basics -  network security reports,command line interface basics,paid 
udacity-6,udacity,udacity,data architect,https://www.udacity.com/course/data-architect-nanodegree--nd038,nanodegree program,the data architect nanodegree program will be to propel learners to an advanced data professional role as a data architect.,4.5,5,80, advanced,4 months,erds -  data definition language -  data manipulation language -  data storage -  sql crud commands -  crow's foot notation -  data ingestion -  database normalization -  data governance fluency -  physical erds -  data architecture fluency -  logical erds -  database schemas -  3rd normal form -  database performance -  database flexibility -  conceptual erds -  postgresql -  database scalability -  lucidchart -  etl -  crud model - data architecture fluency -  data staging -  data ingestion -  star schemas -  elt -  erds -  sql queries -  database normalization -  data cleaning -  database schemas -  data dictionaries -  snowflake schemas -  data definition -  online transactional processing models -  operational data store models -  online analytical processing models - big data fluency -  distributed data processing -  data lake management -  database fundamentals -  database scalability -  hdfs -  data format fundamentals -  nosql -  hadoop -  database frameworks -  data lake design patterns -  nosql data models -  data lakes -  acid properties -  distributed data storage -  amazon dynamodb -  cap theorem -  big data business context - master data management -  data quality assessment -  metadata management -  data governance fluency -  data governance business context -  enterprise data models -  metadata management systems -  data profiling -  data cleaning -  conceptual erds -  logical erds,intermediate sql- relational database basics- json- etl- command line interface basics- basic computer programming- basic sql,paid 
udacity-7,udacity,udacity,designing data systems,https://www.udacity.com/course/designing-data-systems--cd0032,course,in this course students will learn about the major components in architecting an enterprise data system by actually designing a staging area operational data store and data warehouse. students will learn the importance of creating business requirements and data artifacts that define the data in a "single version of truth." from ingesting data into a staging database moving the data to the operational data store where data is transformed to ultimately accessing the data warehouse. students will learn how the data warehouse helps eliminate data silos and bring data from across the enterprise into one central system which can be governed and accessible by anyone in the enterprise to understand and analyze intelligent insights to address business challenges and opportunities.,none,none,none, advanced,4 weeks,data architecture fluency -  data staging -  data ingestion -  star schemas -  elt -  erds -  sql queries -  database normalization -  data cleaning -  database schemas -  data dictionaries -  snowflake schemas -  data definition -  online transactional processing models -  operational data store models -  online analytical processing models,json -  relational database basics -  intermediate sql,paid 
udacity-8,udacity,udacity,digital arts foundations,https://www.udacity.com/course/digital-arts-foundation--nd549,nanodegree program,this nanodegree explores digital art and graphic design through software like canva focusing on 2d shapes layout and mondrian-inspired compositions. it covers color theory rgb and hex codes using adobe color for custom themes. we'll examine the printing press's impact typography and typeface selection. we will also delve into texture space and spatial depth in art learn about balance and scale in composition and explore symmetry and asymmetry. furthermore we'll learn about contrast and pattern movement rhythm emphasis and visual hierarchy in design. we will also learn about unity including gestalt principles and design brief analysis. in the final project you will design a vector-based poster for your social media website showcasing your graphic design skills.,none,none,none, beginner,4 weeks,visual design principles -  canva -  visual design elements,canva -  visual design principles -  visual design elements,paid 
udacity-9,udacity,udacity,digital freelancer,https://www.udacity.com/course/digital-freelancer-nanodegree--nd083,nanodegree program,digital freelancer,4.6,5,16, beginner,2 months,social media presence -  portfolio websites -  brand design -  professional networking -  elevator pitches -  resumes -  formal written communication - stakeholder management -  invoicing -  freelancing platforms -  project scoping -  expressions of interest -  service agreements -  non-disclosure agreements -  freelance pricing frameworks -  project management -  trello,basic computer literacy,paid 
udacity-10,udacity,udacity,cloud architect using microsoft azure,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090,nanodegree program,this program will teach you how to become an azure cloud architect build a migration plan to migrate from on-premises to the azure cloud and apply automation high availability and backup/recovery skills to the role of an azure cloud architect cloud server engineer azure security engineer devops engineer and more.,4.8,5,4, advanced,3 months,disaster recovery plans -  azure resource manager -  cloud availability -  azure load balancing services -  identity and access management fundamentals -  cloud blueprints -  azure site recovery -  azure blueprints -  cloud migration strategy -  azure virtual machine backup -  azure desired state configuration -  cloud design principles -  cloud migration -  azure migrate -  route based vpn -  cloud computing business context -  azure network security groups - cloud cost policies -  cloud cost evaluation -  automated cloud cost optimization -  azure pricing calculator -  azure smart alerts -  azure log analytics -  cloud resource provisioning -  azure insights -  cloud operational efficiency -  azure total cost of ownership calculator - azure security center -  azure key vault -  azure defender -  privileged identity management -  azure ad connect -  identity and access management fundamentals -  azure active directory -  multi-factor authentication -  distributed denial-of-service protection -  azure network watcher -  resource hardening with azure -  data encryption -  zero trust security model -  database security -  azure sentinel -  azure bastion -  azure web application firewall -  azure conditional access policies,azure cli- computer networking basics- json- virtual machine management- azure development- container orchestration- vpn- ci/cd- azure networking services- azure compute service- cloud computing fluency- azure resource manager,paid 
