id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
udacity-1,udacity,udacity,programming for data science with r,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-r--nd118,nanodegree program,this programming for data science with r nanodegree program provides an overview of data analysis and programming. in the sql course students learn to use sql to answer complex business problems including basic commands joins and aggregations. in the r course students learn programming fundamentals and topics such as data types functions loops and conditional statements. they learn to read and manipulate data in r create basic visualizations and perform statistical analysis. the version control course teaches students to use git and github to manage versions of programs and collaborate with others. these courses include practical projects where students use their skills to analyze real data.,4.7,5,47, beginner,2 months,control flow in r -  r data structures -  r function definition -  data structures -  r syntax -  ides,no experience required,paid 
udacity-2,udacity,udacity,digital arts foundations,https://www.udacity.com/course/digital-arts-foundation--nd549,nanodegree program,this nanodegree explores digital art and graphic design through software like canva focusing on 2d shapes layout and mondrian-inspired compositions. it covers color theory rgb and hex codes using adobe color for custom themes. we'll examine the printing press's impact typography and typeface selection. we will also delve into texture space and spatial depth in art learn about balance and scale in composition and explore symmetry and asymmetry. furthermore we'll learn about contrast and pattern movement rhythm emphasis and visual hierarchy in design. we will also learn about unity including gestalt principles and design brief analysis. in the final project you will design a vector-based poster for your social media website showcasing your graphic design skills.,none,none,none, beginner,4 weeks,visual design elements -  canva -  visual design principles,no experience required,paid 
udacity-3,udacity,udacity,composition,https://www.udacity.com/course/composition--cd12757,course,this course focuses on movement and rhythm in compositions utilizing repetition and rhythm to establish visual flow. by manipulating elements and utilizing canva's animation tools we can guide the viewer's eye movement. visual hierarchy and emphasis are explored examining their historical use in advertisements and understanding the order of importance in emphasizing focal points. points of entry and design briefs are analyzed to enhance understanding. achieving unity in compositions is also covered including the concept of unity and various approaches to achieve it. the relation between gestalt groupings and unity is explored along with an analysis of a design brief.,none,none,none, beginner,6 hours,none,no experience required,paid 
udacity-4,udacity,udacity,elements of design and composition,https://www.udacity.com/course/elements-of-design-and-composition--cd12756,course,this course delves into texture in both fine arts and the digital realm utilizing images lines shapes typography and layered colors to create depth and a tactile sense. the concept of space is explored encompassing foreground middleground background and perspective with techniques for recreating depth using basic elements. the course also covers balance and scale in composition including understanding visual weight achieving harmony through balanced and counterbalanced elements and exploring symmetry and asymmetry in design.,none,none,none, beginner,8 hours,none,no experience required,paid 
udacity-5,udacity,udacity,elements of design,https://www.udacity.com/course/elements-of-design--cd12755,course,digital art and graphic design shape our visual environment using vector graphics and design principles. through software like canva we'll explore 2d shapes format layout and design tools creating a mondrian-inspired composition. we'll delve into color theory rgb hex codes and the color wheel and create custom color themes using adobe color. additionally we'll examine the historical impact of the printing press typography type classifications anatomy and the process of choosing typefaces in design and digital arts.,none,none,none, beginner,8 hours,none,no experience required,paid 
udacity-6,udacity,udacity,intro to programming,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,nanodegree program,welcome to the world of programming! learn the skills that all programmers use whether they build apps web pages or analyze data.,4.8,5,1309, beginner,4 months,css -  html -  front-end development basics -  code debugging -  devtools -  flexbox - control flow in python -  command line interface basics -  python functions -  code debugging -  python operators -  text processing in python -  variable scope -  python syntax -  user input handling -  python standard library -  python data structures -  coding best practices -  python data types -  linting -  python scripting -  pep8 -  code refactoring -  bash -  shell scripting -  built-in python functions -  python turtle -  python function definition -  commenting code -  python variables - object-oriented python -  python data structures -  text processing in python -  python classes -  api requests -  python methods -  json -  python exception handling -  python lists -  computer memory architecture,basic python,paid 
udacity-7,udacity,udacity,intro to javascript,https://www.udacity.com/course/intro-to-javascript--cd2073,course,in this course you will use learn the basics of javascript! you will learn how to create and use the primary data types in javascript and how to use conditionals and loops to control the flow of your javascript code. you'll write your first javascript functions and you'll learn how to use arrays and objects to store collections of data. by the end of the course you use your new javascript knowledge to build the core functionality of an ecommerce shopping cart.,none,none,none, beginner,4 weeks,none,no experience required,paid 
udacity-8,udacity,udacity,using sql for data analysis,https://www.udacity.com/course/sql-for-data-analysis--cd0023,course,sql is one of the most versatile tools available when it comes to extracting insights from stored data. learn how to execute core sql commands to define select manipulate control access aggregate and join data and data tables. understand when and how to use subqueries several window functions and partitions to complete complex tasks. clean data optimize sql queries and write select advanced joins to enhance analysis performance. explain which cases you would want to use particular sql commands and apply the results from queries to address business problems.,none,none,none, beginner,3 weeks,sql aggregations -  sql joins -  sql queries -  sql subqueries -  sql window functions,no experience required,paid 
udacity-9,udacity,udacity,small datasets in machine learning,https://www.udacity.com/course/small-data--cd12528,course,this learning journey is designed to provide a comprehensive understanding of machine learning models and techniques specifically tailored for small datasets. you'll learn how to effectively utilize small datasets to build powerful models while avoiding common pitfalls associated with data scarcity. we'll cover methodologies and practical applications allowing you to develop a strong foundation in machine learning techniques that apply to small dataset problems so you can successfully apply these techniques in your projects.,none,none,none, intermediate,4 weeks,transfer learning -  variational autoencoders,probability and statistics -  intermediate python -  basic machine learning,paid 
udacity-10,udacity,udacity,data scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,nanodegree program,get hands-on experience running data pipelines designing experiments building recommendation systems and more.,4.8,5,781, advanced,4 months,blog posts -  predictive analytics -  data storytelling -  ai algorithms in python -  statistical modeling fundamentals -  exploratory data analysis -  github portfolios -  crisp-dm - coding best practices -  object-oriented programming basics -  logging -  basic web development -  magic methods -  pip -  flask -  plotly -  code reviews -  unit testing -  bootstrap -  code refactoring - scikit-learn -  data cleaning -  machine learning pipeline creation -  part of speech tagging -  feature engineering -  data ingestion -  sqlite -  etl -  tf-idf -  bag of words -  machine learning pipeline fundamentals -  entity recognition -  tokenization -  lemmatization -  data preparation -  feature extraction -  data normalization -  sentiment analysis -  hyperparameter tuning -  data pre-processing - interpreting test results -  smart experiments -  experiment control -  recommendation engine fluency -  matrix factorization -  bias detection -  recommendation engine business context -  latent variables -  ai algorithms in python -  recommendation engines -  experiment metrics -  experiment design,predictive analytics- scikit-learn- numpy- basic statistical modeling- pandas- basic python- command line interface basics- python package management- git- python data analysis libraries- basic sql- python for data science- json- relational database proficiency- data wrangling- basic descriptive statistics- relational database basics- data visualization- linear algebra- basic calculus- inferential statistics,paid 
udacity-11,udacity,udacity,programming for data science with python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,nanodegree program,learn programming skills needed to uncover patterns and insights in large data sets running queries with relational databases and working with unix shell and git.,4.8,5,807, beginner,2 months,numpy -  pandas -  control flow -  python scripting -  built-in python functions -  python methods -  python function definition -  python package management -  python data types -  iterators -  python exception handling -  python best practices -  python operators -  python data structures -  docstrings -  anaconda -  python ides -  variable scope -  list comprehension -  python syntax -  user input handling - git -  unix shell,no experience required,paid 
